Editopia 2026,,,,
Zur Zukunft von Dokumentologie und Editorik im Postdigitalen · Bergische Universität Wuppertal · 02.–04. September 2026,,,,
,,,,
Mittwoch · 02. September 2026,,,,
12:00–13:00,Welcome & Opening Remarks,,,30 min
13:00–14:30,Sektion 1 ,,,Call-Feld 3
13:00,1,Bastian Politycki,Editionsagenten: Wie gestalten große Sprachmodelle digitale Editionen?,30 min
13:30,2,"Christopher Pollin, Elias Keyenbühl",Agentenbasierte Editionsworkflows und epistemische Infrastrukturen. Ein Experiment zur digitalen Edition der Schriften von Jeanne Hersch,30 min
14:00,3,Tim Westphal,Posttextuelle Schnittstellen? KI-Agenten als dialogische Zugänge zu digitalen Editionen,30 min
14:30–15:00,Coffee Break,,,30 min
15:00–16:30,Sektion 2 ,,,Call-Feld 9
15:00,1,Gerrit Brüning,Postdigitale Editionen und postanaloges Edieren,30 min
15:30,2,"Alice Gydé, Elena Pierazzo, Serena Crespi, Victoire Muller",The workflow of digital critical editions,30 min
16:00,3,Silvia Stoyanova,From Documentation to Reconfiguration: Design Principles for the Post-Digital Edition,30 min
17:00–18:00,Social Event,,,60 min
ab 19:00,Informal Dinner & Networking,,,
,,,,
Donnerstag · 03. September 2026,,,,
9:00–10:30,Sektion 3 ,,,Call-Feld 2
9:00,1,Andreas Kuczera,Von der digitalen zur algorithmischen Edition: Applied Text as Graph (ATAG) als Modell postdigitaler Textmodellierung,30 min
9:30,2,Christian Lück,Fluidität und Stabilität im Alignment-Graph,30 min
10:00,3,Inmaculada Ureña,Textual fluidity and data modelling in a multilingual digital scholarly edition of Utopia,30 min
10:30–11:00,Coffee Break,,,30 min
11:00–12:30,Sektion 4 ,,,Call-Felder 4 + 8
11:00,1,Frederike Neuber,Im Spiegel der Maschine. KI als Katalysator für eine selbstreflexive Editorik,30 min
11:30,2,"Elias Zimmermann, Levyn Bürki",Diskriminierung (nicht) edieren. Diskriminierungssensible Editions-Richtlinien am Beispiel der digitalen Edition Annemarie Schwarzenbach,30 min
12:00,3,"Johannes Ioannu, Ruth Sander, Fernanda Wolff",Kratzen an der Oberfläche. Barrierefreiheit als Strategie eines nachhaltigen Zugangs für Mensch und Maschine,30 min
12:30–14:00,Lunch,,,90 min
14:00–15:30,Sektion 5 ,,,Call-Feld 5
14:00,1,Johannes Kepper,Who's got the makings? Fluide Transkriptionen als (musik)philologische Herausforderung,30 min
14:30,2,"Daniel Stökl, Benjamin Schnabel, Anamarija Vargovic, Hayim Lapin ",MaTraDSE: Manuscript Transmogrification for Digital Scholarly Editions,30 min
15:00,3,Laura Rehberger,Der multimediale Werkkomplex The Girl and Her Trust als postdigitales Editionsprojekt,30 min
15:30–16:00,Coffee Break,,,30 min
16:00–17:30,Sektion 6 ,,,Call-Feld 1
16:00,1,Giuseppe Arena,"Processuality, Instability, and the Ecdotic Challenge of Born-Digital Electronic Poetry",30 min
16:30,2,"Elena Barchielli, Simon Willemin, Elena Spadini","Description, edition and analysis of born-digital literary sources: case studies from the Bit Philology project",30 min
17:00,3,Emmanuela Carbé,From Text to Event: Rethinking Scholarly Editing in Hybrid and Contemporary Archives,30 min
17:30–18:30,Special Format,,,60 min,Georg Vogeler
17:30,,"Joris J. van Zundert, Aengus Ward, Andreas Kuczera, Sebastian Enns, Elisa Cugliana, Tara L. Andrews",Editopia 2049,
,,,,
Freitag · 04. September 2026,,,,
9:00–10:00,Sektion 7 ,,,Call-Feld 6
9:00,1,"Stefan Dumont, Tobias Kraft, Gerald Neumann, Markus Schnöpf, Christian Thomas","Testament, Patientenverfügung, Nachlassverwaltung. Eine Bucket List zum Abschluss Digitaler Editionen am Beispiel der Berliner edition humboldt",30 min
09:30,2,"Elli Bleeker, Peter Boot, Fenia Menexi",The Modular Edition: Tracing Editorial Concepts Across Digital Edition Projects,30 min
10:00–10:30,Coffee Break,,,30 min
10:30–11:30,Sektion 8 ,,,Call-Feld 7
10:30,1,"Martina Scholger, Ulrike Henny-Krahmer, Torsten Roeder, Elisa Beshero-Bondar, Syd Bauman, Helena Bermúdez Sabel, Elli Bleeker, Martin Holmes, Patricia O'Connor, Joey Takeda, Raffaele Viglianti",Towards a TEI Editopia: Visions for a Post-Digital P6 Architecture,30 min
11:00,2,"Roberto Rosselli Del Turco, Chiara Martignano",The Interface as an Epistemic Requirement: Addressing Information Overcrowding and Accessibility in EVT 3,30 min
11:30–12:30,Closing Discussion & Farewell,,,60 min
